,Latitude,Longitude,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Year,Month,Day,Islamic Year,Islamic Month,Islamic Day,Blast Day Type Num,City Num,Province Num,Location Category Num,Location Sensitivity Num,Open/Closed Space Num,Target Type Num
171,34.0043,71.5448,3.0,5.0,3.0,9.0,1.0,2009,5,28,1430,6,4,2,40,4,13,0,1,6
172,31.8238,70.9095,3.0,5.0,8.0,12.0,1.0,2009,5,28,1430,6,4,2,9,4,13,0,1,6
173,35.1977,71.8749,14.725714285714286,40.0,50.0,70.0,1.0,2009,6,5,1430,6,12,2,62,3,14,2,0,7
174,33.718,73.0718,2.0,2.0,4.0,5.0,1.0,2009,6,6,1430,6,13,2,17,2,13,0,0,6
175,34.0043,71.5448,11.0,15.0,50.0,80.0,1.0,2009,6,9,1430,6,16,2,40,4,7,2,0,2
176,34.0043,71.5448,1.0,2.0,8.0,15.0,1.0,2009,6,11,1430,6,18,2,40,4,13,0,1,6
177,31.5451,74.3407,5.0,7.0,5.0,12.0,1.0,2009,6,12,1430,6,19,2,26,5,14,2,0,7
178,34.0322,73.0944,4.0,7.0,63.0,105.0,1.0,2009,6,12,1430,6,19,2,38,4,14,2,0,7
179,35.3833,72.1833,14.725714285714286,2.0,31.397260273972602,7.0,1.1159420289855073,2009,6,22,1430,6,29,2,55,4,13,0,1,6
180,34.3597,73.4711,14.725714285714286,2.0,3.0,4.0,1.0,2009,6,26,1430,7,3,2,36,0,10,0,1,5
181,34.0211,71.2874,1.0,4.0,10.0,11.0,1.0,2009,6,30,1430,7,7,2,23,3,4,0,1,2
182,34.0043,71.5448,14.725714285714286,1.0,31.397260273972602,39.45986984815618,1.0,2009,7,1,1430,7,8,2,40,4,10,0,1,6
183,33.6058,73.0437,14.725714285714286,1.0,25.0,40.0,1.0,2009,7,2,1430,7,9,2,44,5,10,0,1,3
184,34.0043,71.5448,14.725714285714286,1.0,2.0,5.0,1.0,2009,7,8,1430,7,15,2,40,4,8,1,1,6
185,32.9746,70.1456,14.725714285714286,2.0,3.0,5.0,1.0,2009,7,28,1430,8,6,2,37,4,13,0,1,6
186,32.3202,69.8597,4.0,5.0,31.397260273972602,39.45986984815618,1.0,2009,8,13,1430,8,22,2,51,3,10,1,1,0
